Hidden Layer 1,Hidden Layer 2,Learning Rate,L2 Regularization,Validation Accuracy,Test Accuracy
512,128,0.1,0.001,0.521,0.5231
512,128,0.1,1e-05,0.5242,0.5197
512,128,0.001,0.001,0.41,0.4115
512,128,0.001,1e-05,0.4064,0.4063
512,64,0.1,0.001,0.51,0.5047
512,64,0.1,1e-05,0.5138,0.5085
512,64,0.001,0.001,0.4028,0.4074
512,64,0.001,1e-05,0.4106,0.4117
256,128,0.1,0.001,0.5194,0.5088
256,128,0.1,1e-05,0.517,0.5069
256,128,0.001,0.001,0.4058,0.4051
256,128,0.001,1e-05,0.391,0.3984
256,64,0.1,0.001,0.4998,0.4937
256,64,0.1,1e-05,0.4998,0.5022
256,64,0.001,0.001,0.404,0.4065
256,64,0.001,1e-05,0.3978,0.4025
